nis;username;password;nama;kelas;jk
333;333;333;Halim;10 IPA 1;L
123;123;123;Jola;11 IPA 1;L
333;333;333;Halim;10 IPA 1;L
123;123;123;Jola;11 IPA 1;L
333;333;333;UE;10 IPA 3;L
123;123;123;Jola;11 IPA 1;L
58213;58213;58213;Doni;11 BB;L
90809;90809;90809;Burhan;11 IPA 1;L
676799;676799;676799;Anasa;11 IPA 1;P
123123;333333;123123;Muji;11 IPS 2;L
18693;18693;18693;asdsad;11 BB;P
1234;1234;1234;Hun;11 BB;L
50505;50505;50505;ad;10 IPA 3;L
34344;22222;22222;Hun;11 BB;L
101156;101156;101156;wrwr;11 IPA 1;L
3333;3333;3333;DF;11 BB;L
99999;99999;99999;Joni;11 IPA 1;L
101156;101156;101156;Ham;10 IPA 1;L
10112;10112;10112;10112;11 BB;L
10013;10013;10013;Muji;10 IPA 3;L
10011;qweqe;qweqwe;Naufal;11 IPA 5;L
